f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24
169525,405573,290725,2046.8,7595.78,3.51852,111.044,26590.4,14,54,22,239,5624.51,146.594,146.594,157.091,0.285714,13.9375,0.148936,0.58311,0.269466,0.740478,8.47006,3.97895
217733,522759,406344,2453.88,9248.2,3.68571,105.617,8824.73,8,70,29,285,6887.12,153.389,153.389,166.207,0.428571,15.7647,0.186441,0.535834,0.265336,0.744699,2.8371,2.17054
178752,526768,362564,2271.89,7383.35,3.64516,103.463,11309.7,6,62,19,347,7628.95,143.896,143.896,155.211,0.512195,12.88,0.215686,0.493024,0.307704,1.03326,3.92276,1.64602
208376,508269,351212,2247.39,8059.7,3.67273,102.224,33329.2,12,55,23,241,5874.98,154.892,154.892,161.348,0.447368,25.7778,0.195652,0.593304,0.278843,0.728933,8.79711,3.26733
267940,684947,459176,2584.51,11169,3.575,104.184,15836.8,10,80,25,344,8587.38,153.927,153.927,163.56,0.355932,17.1053,0.230769,0.583523,0.2314,0.768859,4.72846,2.7972
196182,497718,348992,2195.08,8346.86,3.68966,108.474,43005.3,15,58,22,260,6303.97,149.462,149.462,157.273,0.348837,16.3333,0.208333,0.562139,0.262983,0.755251,12.7143,4.06542
159381,412794,278041,2002.19,7238.25,3.6,107.263,13273.2,8,60,24,245,5858.39,154.151,154.151,162.375,0.428571,16.5,0.176471,0.573229,0.276612,0.809365,4.99679,2.22222
253081,533065,395560,2365.56,10805.1,3.5,104.886,23235.2,13,84,23,242,7333.63,158.087,158.087,160.13,0.448276,29.25,0.2,0.639805,0.218931,0.678722,7.71198,3.71429
240959,527175,389360,2302.34,10994.6,3.68293,105.914,16741.5,12,82,22,337,7958.65,153.721,153.721,157.409,0.389831,29.6364,0.171429,0.618861,0.209406,0.723868,5.69725,3.25828
274312,563220,439215,2488.71,11296.1,3.63415,106.56,27759.1,15,82,23,338,8116.03,145.63,145.63,160.13,0.366667,13.6957,0.188406,0.62455,0.220316,0.718483,8.29804,4.12752
262149,551688,482727,2581.04,10564.1,3.3494,106.944,29559.2,12,83,25,359,8843.35,155,155,164.92,0.296875,28.9167,0.185714,0.543059,0.244323,0.837117,9.35885,3.58273
112018,307615,204417,1737.55,4171.67,3.24324,97.2169,18145.8,12,37,17,198,4763.33,150.263,150.263,154,0.321429,10.6471,0.37037,0.547989,0.416511,1.14183,5.99363,3.7
237463,539968,350296,2317.39,10303.7,3.8209,112.175,23235.2,11,67,42,292,6352.27,144.469,144.469,167.762,0.488889,10.68,0.196429,0.677891,0.224908,0.616502,6.5558,2.87891
312839,706875,486833,2606.47,13135.4,3.74713,108.95,31415.9,13,87,31,344,8300.58,150.503,150.503,163.258,0.42623,19.2353,0.191781,0.6426,0.198431,0.631923,8.73673,3.46933
241320,480000,342795,2238.06,9195.96,3.63077,111.655,16741.5,9,65,46,304,6834.91,146.566,146.566,169.478,0.477273,20.7143,0.203704,0.703978,0.243375,0.743251,4.50936,2.47881
213768,627072,422076,2471.34,9398.36,3.7027,109.15,6647.61,6,74,14,314,7349.33,154.541,154.541,145.214,0.574468,18.625,0.275862,0.506469,0.262954,0.78198,2.3012,1.62044
228188,518752,342758,2373.91,9469.76,3.48148,109.368,28352.9,14,81,30,317,7459.43,155.385,155.385,165.6,0.421053,20.1333,0.208955,0.665742,0.250683,0.787711,10.0644,4.02128
176607,738170,514165,2815.26,7474.97,3.44615,112.296,38013.3,17,65,16,292,7331.81,157.123,157.123,157.688,0.413043,31.4444,0.27451,0.343483,0.376624,0.980849,13.9907,4.93304
360381,698301,547806,2768.33,15135.2,3.88889,104.912,45996.1,17,90,26,324,7877.63,155.485,155.485,165.769,0.451613,23.9231,0.168831,0.657862,0.182907,0.520485,11.4869,4.37143
116256,356153,197618,1891.15,4762.76,3.33333,108.884,10935.9,7,48,27,223,4939.98,145.404,145.404,166.222,0.333333,13.8667,0.297297,0.588285,0.39707,1.03721,4.51523,2.1
168412,406134,289378,2043.48,7508.28,3.62264,108.489,24884.6,13,53,22,194,5532.49,153.144,153.144,156.5,0.358974,16.6364,0.177778,0.581979,0.272163,0.736852,7.83127,3.58854
169568,404271,289302,2043.59,6999.64,3.67857,101.587,9160.88,5,56,20,238,5537.8,146.324,146.324,159.55,0.555556,13,0.217391,0.586127,0.291956,0.791156,3.02539,1.35922
218396,520492,404720,2450.51,8850.15,3.56923,105.305,17203.4,7,65,26,287,6925.76,149.348,149.348,165.769,0.413043,14.1053,0.181818,0.539621,0.276889,0.782559,5.12015,1.96121
213389,527571,362670,2274.15,8964.6,3.44737,103.882,13684.8,9,76,18,244,7393.05,162.217,162.217,153.611,0.461538,26.1111,0.266667,0.588384,0.253681,0.824694,4.87393,2.61069
207984,506160,350153,2245.26,9365.66,3.79104,108.348,23778.7,12,67,21,241,5833.85,156.444,156.444,156.619,0.488889,47.2,0.196429,0.593982,0.239733,0.622898,7.66006,3.16535
267190,684216,458512,2581.7,11064.5,3.4878,101.848,16741.5,8,82,29,340,8483.37,154.235,154.235,165.103,0.344262,17.8889,0.242424,0.582733,0.233331,0.766717,5.13795,2.29371
201220,500544,351230,2201.75,9329.01,3.52113,107.983,43005.3,17,71,23,263,6415.72,148.688,148.688,161.043,0.314815,16.5333,0.163934,0.572902,0.236011,0.687717,15.1743,4.828
155965,410234,277728,2000.23,5837.42,3.24,100.955,6647.61,5,50,24,250,5901.66,151.692,151.692,162.458,0.351351,18.2308,0.282051,0.561573,0.342657,1.011,2.13113,1.54321
250939,540872,399313,2378.12,11610.4,3.825,106.496,24328.5,16,80,22,305,7418.31,149.603,149.603,156.545,0.454545,13.5238,0.176471,0.628427,0.204827,0.638939,7.75598,4.18301
243150,524675,387816,2296.81,10643.5,3.46067,103.352,17671.5,9,89,23,336,7948.94,153.735,153.735,161,0.390625,21.4,0.155844,0.626972,0.215795,0.746836,6.46827,2.60065
277162,565468,440682,2491.62,11882,3.58242,103.115,27759.1,10,91,28,346,8140.2,144.749,144.749,161.25,0.318841,14.7273,0.166667,0.628937,0.209698,0.68509,9.1141,2.79141
256014,549582,479666,2571.98,10020.5,3.48718,103.572,28952.9,11,78,24,356,8766.39,155.654,155.654,162.417,0.368421,22.7333,0.164179,0.533733,0.256673,0.874848,8.82113,3.15441
114852,309246,204880,1737.84,4840.81,3.26087,104.269,17203.4,10,46,17,194,4741.14,148.851,148.851,154.118,0.314286,13.9231,0.210526,0.560581,0.358998,0.979412,6.89021,3.06667
238142,541812,350940,2317.1,9920.82,3.85507,106.046,11309.7,9,69,43,300,6381.3,141.89,141.89,169.535,0.5,24,0.232143,0.678584,0.233559,0.643223,3.27691,2.33459
318505,704925,488516,2610.99,13019.7,3.66316,100.657,40828.1,11,95,32,356,8289.38,149.427,149.427,168.844,0.397059,16.8,0.1875,0.651984,0.200541,0.636677,12.1778,3.00287
242629,479598,342210,2237.23,11121.8,3.58025,111.507,8171.28,8,81,46,303,6809.17,147.155,147.155,169.696,0.372881,14.9474,0.191176,0.709004,0.201156,0.612234,2.72793,2.23448
215033,624864,420144,2465.66,9063.66,3.82353,104.562,6939.78,8,68,16,317,7318.94,155.35,155.35,157.5,0.789474,23.3846,0.236364,0.511809,0.272038,0.807504,2.19457,2.09231
227910,515040,342518,2373.78,9940.31,3.4186,107.736,14102.6,11,86,29,318,7449.4,155.651,155.651,166.448,0.34375,21.7143,0.228571,0.665395,0.238804,0.749414,5.32152,3.21769
179103,737058,515048,2815.04,7305.39,3.38462,109.916,40828.1,15,65,15,292,7345.72,154.49,154.49,152.533,0.326531,21.4615,0.25,0.34774,0.385337,1.00552,14.8173,4.43182
366501,703703,550872,2776.29,16622.3,4.04255,106.171,45996.1,18,94,26,326,7897.6,156.083,156.083,165.269,0.253333,24.0769,0.160494,0.665311,0.167022,0.475121,11.797,4.45263
117680,358605,200012,1891.1,4882.95,3.43478,102.571,9852.03,7,46,27,215,4931,149.553,149.553,163.667,0.483871,15.5385,0.243243,0.588365,0.387286,1.00984,3.85108,2.03797
173152,406224,290844,2045.43,8000.48,3.83871,106.227,9852.03,6,62,22,232,5534.98,148.211,148.211,157.318,0.675676,16.8462,0.215686,0.595345,0.255663,0.691831,3.52768,1.56303
216950,522415,403149,2448.74,7705.06,3.3,106.659,17203.4,5,60,27,290,6874.93,150.414,150.414,164,0.363636,11.6087,0.176471,0.538137,0.317809,0.892262,4.7578,1.51515
213862,524426,362516,2268.32,8875.94,3.30233,111.734,9852.03,8,86,21,282,7490.48,154.844,154.844,156.19,0.34375,17.8,0.194444,0.589939,0.255558,0.843909,3.96178,2.42254
210412,508269,353921,2255.78,8595.22,3.62712,103.8,32685.1,14,59,23,250,5920.4,151.808,151.808,161.348,0.439024,21.7273,0.229167,0.594518,0.262445,0.688802,9.16497,3.85981
269329,684216,459230,2585.83,11667.3,3.5,103.87,16741.5,7,92,24,343,8595.59,155.09,155.09,163.542,0.4375,21.8667,0.210526,0.586479,0.221631,0.736725,5.71875,2
202178,502665,351865,2204.5,9052.37,3.67164,102.38,41547.6,16,67,20,261,6378.73,149.36,149.36,160.8,0.425532,16.4,0.175439,0.57459,0.243527,0.704648,13.7685,4.35772
158049,412776,279229,2003.37,6490.26,3.46154,103.25,13273.2,9,52,26,247,5849.06,154.336,154.336,164.577,0.3,23.7,0.181818,0.566018,0.308673,0.901207,4.36706,2.6
245827,539320,397810,2372.78,10336.5,3.63158,104.159,24328.5,10,76,21,308,7425.77,148.084,148.084,156.095,0.52,10,0.169231,0.61795,0.229554,0.718403,7.52141,2.75362
244645,526029,387818,2299.36,10296.6,3.50649,104.492,5281.02,5,77,22,340,7973.27,153.912,153.912,156.364,0.375,21.6667,0.203125,0.630825,0.223314,0.774361,1.66216,1.42593
